file_name,tool_type,peak_freq,peak_mag,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_spread,spectral_skewness,spectral_kurtosis,rms_energy,zero_crossing_rate,peak_to_peak,energy,duration,start_time,end_time,extract_date
20260724_132546.wav,gia_he,0.0,1.0,3897.4879925519695,1900.050982108996,5850.22026431718,1900.050982108996,-0.0994334312699782,-0.7802417781497537,0.0445928536355495,0.2075991189427312,1.67193603515625,7.222314357757568,0.2269999999999998,3.7726875,3.9996875,
20260724_132546.wav,gia_he,0.0,1.0,3912.292308029892,2046.7198185584289,6555.066079295154,2046.7198185584289,0.1544695909871863,-1.0423737540927334,0.041099939495325,0.2808370044052863,1.292236328125,6.135193347930908,0.2269999999999994,5.016625,5.243625,
20260724_132558.wav,gia_he,1704.8458149779733,1.0,3759.950418172514,1950.9175933725385,5911.894273127753,1950.9175933725385,0.1969473090693226,-0.9236862329239152,0.071578525006771,0.306442731277533,1.835845947265625,18.608497619628903,0.2269999999999998,1.18025,1.40725,
20260724_132558.wav,gia_he,4418.502202643172,1.0,3877.7997256699273,2236.471775036971,6519.823788546255,2236.471775036971,0.0551156819722406,-1.130438887070996,0.061264231801033,0.414647577092511,1.891021728515625,13.632006645202637,0.2269999999999998,2.2770625,2.5040625,
20260724_132558.wav,gia_he,4436.123348017621,1.0,3922.712155959213,2116.1676711846085,6211.453744493391,2116.1676711846085,-0.0305263413514028,-1.0103757842377308,0.0576595552265644,0.4003303964757709,1.598907470703125,12.075035095214844,0.2269999999999998,3.48125,3.70825,
20260724_132558.wav,gia_he,4440.528634361233,1.0,3705.5594470990586,1894.20774013651,5744.493392070484,1894.20774013651,0.1102195257528629,-0.8210266894761751,0.0444932505488395,0.2962555066079295,1.61627197265625,7.190086364746094,0.2270000000000003,4.608,4.835,
20260724_132558.wav,gia_he,4.405286343612334,1.0,3821.584968997775,2175.269758037603,6607.929515418502,2175.269758037603,0.1453839422509762,-1.0114470404219946,0.0495913177728652,0.2243942731277533,1.63116455078125,8.932173728942871,0.2269999999999994,5.7820625,6.0090625,
20260724_132635.wav,gia_he,0.0,1.0,3916.9477156387793,2212.8854347474858,6682.819383259911,2212.8854347474858,0.1711782079283668,-1.090448802263803,0.0605785697698593,0.246420704845815,1.88323974609375,13.32857894897461,0.2269999999999999,0.989,1.216,
20260724_132635.wav,gia_he,1903.0837004405284,1.0,4036.050536403312,2022.7661036483064,6198.237885462555,2022.7661036483064,0.0189797719275049,-1.0290852800226544,0.0577791184186935,0.3571035242290749,1.943572998046875,12.125164985656738,0.2269999999999998,1.9943125,2.2213125,
20260724_132635.wav,gia_he,4370.044052863435,1.0,3847.0856366725393,2080.014996137301,6207.048458149779,2080.014996137301,0.0244115649770752,-1.0616702045259758,0.0501501783728599,0.3601321585903084,1.651092529296875,9.13462734222412,0.2269999999999998,3.0840625,3.3110625,
20260724_132635.wav,gia_he,4524.229074889868,1.0,3934.144578615523,2104.163106789114,6312.775330396476,2104.163106789114,-0.0634877116709537,-1.0334817720401352,0.0553635656833648,0.3813325991189427,1.788726806640625,11.132532119750977,0.2270000000000003,4.26,4.487,
20260724_132635.wav,gia_he,4370.044052863435,1.0,3865.566639003503,2165.6512699387886,6590.308370044052,2165.6512699387886,0.1072202328178412,-1.0901528909447329,0.0629423111677169,0.3560022026431718,1.90594482421875,14.389019966125488,0.2270000000000003,5.4331875,5.6601875,
20260724_132656.wav,gia_he,4528.63436123348,1.0,4046.8638421067576,2200.1860106199256,6832.5991189427305,2200.1860106199256,0.0459500688837851,-1.0744884845190146,0.0517734549939632,0.3672907488986784,1.5738525390625,9.735541343688965,0.2269999999999998,1.00475,1.23175,
20260724_132656.wav,gia_he,4158.590308370044,1.0,4056.789655734382,1950.778894772044,6264.317180616739,1950.778894772044,-0.0805984932354642,-0.9466813809548568,0.0732021331787109,0.3997797356828194,1.946533203125,19.462263107299805,0.2269999999999998,2.06075,2.28775,
20260724_132656.wav,gia_he,4528.63436123348,1.0,4023.3723319303294,1998.899377712118,6555.066079295154,1998.899377712118,0.0207717425031094,-0.965986741526284,0.0420387238264083,0.3518722466960352,1.434783935546875,6.418667316436768,0.2270000000000003,3.2856875,3.5126875,
20260724_132656.wav,gia_he,4440.528634361233,1.0,3819.1540639320506,1953.8172357487088,5964.757709251101,1953.8172357487088,0.077415478978223,-0.9337989575943416,0.0439382158219814,0.3529735682819383,1.575836181640625,7.0118184089660645,0.2270000000000003,4.593375,4.820375,
20260724_132656.wav,gia_he,0.0,1.0,3776.976456942198,2025.373786765823,6220.264317180616,2025.373786765823,0.1700470645063455,-0.9407786432651828,0.0329814478754997,0.2202643171806167,1.447967529296875,3.9508018493652335,0.2270000000000003,5.830875,6.057875,
20260724_132708.wav,gia_he,4.405286343612334,1.0,4106.833029403148,2086.488733376093,6656.387665198237,2086.488733376093,-0.0741845773627766,-1.0792362030199678,0.0482001155614852,0.237885462555066,1.2301025390625,8.438048362731934,0.2269999999999998,1.074375,1.301375,
20260724_132708.wav,gia_he,0.0,1.0,4102.775129198499,2380.3603772504525,6916.299559471365,2380.3603772504525,-0.0853564523262585,-1.2481730541721712,0.0582566149532794,0.2929515418502202,1.661285400390625,12.32640266418457,0.2269999999999998,2.0135625,2.2405625,
20260724_132708.wav,gia_he,0.0,1.0,3936.3980825221247,2107.820751222758,6506.607929515418,2107.820751222758,0.0734435061984526,-1.0508715302088578,0.0475515685975551,0.2483480176211453,1.4520263671875,8.212503433227539,0.2269999999999998,2.9745,3.2015,
20260724_132708.wav,gia_he,1726.872246696035,1.0,3832.265135709418,2148.8562066809573,6330.396475770925,2148.8562066809573,0.0570530206380156,-1.0445507156997549,0.044634710997343,0.4077643171806167,1.266143798828125,7.235879421234131,0.2269999999999994,4.4593125,4.6863125,
20260724_132728.wav,gia_he,0.0,1.0,3701.259028005023,2096.918622637708,6317.180616740087,2096.918622637708,0.2429019385158587,-0.9901485453140236,0.0374805778264999,0.2359581497797356,0.91571044921875,5.102210998535156,0.2270000000000001,1.3176875,1.5446875,
20260724_132728.wav,gia_he,0.0,1.0,3583.995471070208,2085.439599230021,6132.15859030837,2085.439599230021,0.2220376207730411,-0.9990811490624876,0.0430193394422531,0.2279735682819383,0.9486083984375,6.721609592437744,0.2269999999999998,2.508,2.735,
20260724_132728.wav,gia_he,0.0,1.0,3597.8359599191854,2173.3578142352194,6171.80616740088,2173.3578142352194,0.1052274150039507,-1.0193601832545454,0.0393596701323986,0.2524779735682819,1.318603515625,5.62663459777832,0.2269999999999998,3.7733125,4.0003125,
20260724_132728.wav,gia_he,0.0,1.0,3971.1514486403935,2044.559920188931,6400.881057268722,2044.559920188931,0.033948960093687,-1.1335165210577238,0.0542923063039779,0.3325991189427312,1.50567626953125,10.705881118774414,0.2269999999999994,4.947625,5.174625,
20260724_132728.wav,gia_he,1760.0000000000002,1.0,3911.7073618262616,2096.1996193948185,6571.034482758621,2096.1996193948185,0.1854628066127422,-1.0838461628992653,0.0455633848905563,0.2696551724137931,1.679168701171875,6.020463943481445,0.1812500000000003,6.23475,6.416,
20260724_132750.wav,gia_he,0.0,1.0,4015.6497179078806,2208.0900262955493,6629.955947136563,2208.0900262955493,-0.028580728875877,-1.1378102758503104,0.0634080544114112,0.3774779735682819,1.5748291015625,14.60275173187256,0.2269999999999999,0.9688125,1.1958125,
20260724_132750.wav,gia_he,4475.770925110131,1.0,3897.199555803538,2020.991563636191,6281.938325991189,2020.991563636191,0.0760957080708924,-0.8292743956549806,0.0643930733203888,0.3582048458149779,1.871490478515625,15.05997371673584,0.2269999999999998,2.196875,2.423875,
20260724_132750.wav,gia_he,4.405286343612334,1.0,4191.394086789277,1964.3955086933283,6436.123348017621,1964.3955086933283,-0.154183109767241,-0.8699512373733285,0.0523873791098594,0.3562775330396476,1.79248046875,9.96779727935791,0.2269999999999998,3.5054375,3.7324375,
